Ensembl_ID,Control_1_FPKM,Control_2_FPKM,Control_3_FPKM,VitC_1_FPKM,VitC_2_FPKM,VitC_3_FPKM,Control_Average_FPKM,VitC_Average_FPKM,Fold_Change,Log2FC,edgeR,DESeq2,Change,Expressed
ENSG00000000003,21.542816489213184,23.74276891420364,24.26224136382428,14.04786129852803,16.56171782813774,13.387856765462134,23.182608922413703,14.665811964042636,0.6326212900853988,-0.6605859861016419,3.05e-05,2.79e-07,Downregulated,Expressed
ENSG00000000419,65.02042728575769,65.91701106796286,59.943117197491375,57.47330187941903,53.11111507837085,54.2959663391887,63.626851850403966,54.960127765659536,0.8637882618313227,-0.21125038324263912,0.582148929,0.036561045,Nondifferential,Expressed
ENSG00000000457,4.275969105585944,4.338524834646527,4.018258000344715,4.3224825058043255,4.526825206738883,4.018343801323125,4.210917313525728,4.2892171712887786,1.0185944894979402,0.026579817522344232,1.0,0.919602543,Nondifferential,Expressed
ENSG00000000460,2.4224011033488377,2.798705496088857,2.271534212365676,2.677261134860424,3.0903005218932766,2.597351610515672,2.4975469372677903,2.788304422423124,1.1164172255651021,0.1588762895001625,0.8057835659999999,0.644766296,Nondifferential,Expressed
ENSG00000000971,9.31076763551335,10.778623016221418,11.685507884033447,27.768597805583,33.02864513383168,27.90934105107554,10.591632845256072,29.568861330163408,2.7917188749048374,1.4811536699856942,6.649999999999999e-30,4.0200000000000006e-25,Upregulated,Expressed
ENSG00000001036,25.35409400922818,27.16877389377968,21.330246177356027,31.481920453783,31.67383759994051,29.891234675265487,24.617704693454627,31.01566424299633,1.2598926109972712,0.3333007684995306,0.053178054,0.060468884,Nondifferential,Expressed
ENSG00000001084,14.10851121019382,12.873093591020426,13.996907268483962,14.27645093549754,13.187821586713538,15.155613248054895,13.659504023232735,14.206628590088654,1.0400544972881405,0.056659125392755624,1.0,0.961672004,Nondifferential,Expressed
ENSG00000001167,9.8444760015539,11.378650690266856,11.213785373330591,10.840433457417731,10.935623849818363,12.609895433888507,10.812304021717116,11.461984247041533,1.0600871214885836,0.08418283514186352,0.865945848,0.8485819840000001,Nondifferential,Expressed
ENSG00000001460,5.219913252272386,4.8494653881640994,4.9744898030463816,5.8592212344675065,5.3563916478572615,6.0303610272530195,5.014622814494289,5.748657969859263,1.1463789366656478,0.1970840071697936,0.59402834,0.438964929,Nondifferential,Expressed
ENSG00000001461,27.69218668590881,25.512591112420587,25.71949896034453,27.184632357921394,22.95338791805265,29.07061750734901,26.308092252891306,26.40287926110768,1.0036029601578562,0.0051886311394773385,1.0,0.832415771,Nondifferential,Expressed
ENSG00000001497,15.38224601964818,16.657595237757242,18.69806075902834,15.717479074774936,13.673633039637634,16.98920250802254,16.912634005477926,15.460104874145035,0.9141157355582566,-0.12955125942299245,1.0,0.34351484200000004,Nondifferential,Expressed
ENSG00000001561,11.521427521105013,13.316873906560698,13.080857599084716,7.802781827141423,9.07246118273632,7.151326750845798,12.639719675583475,8.008856586907848,0.6336261240333354,-0.6582962767735292,0.00017197099999999998,1.63e-06,Downregulated,Expressed
ENSG00000001629,36.736080446267536,39.84809294216539,36.96074914702339,38.58377753033275,38.57286683964084,36.69082881781169,37.848307511818774,37.949157729261756,1.002664589887183,0.0038390781003467336,1.0,0.768635735,Nondifferential,Expressed
ENSG00000001631,22.065598564305468,24.9856432798417,24.627459233825412,19.921399826035366,20.528282820486904,18.910210066834765,23.892900359324198,19.786630904452352,0.828138510054541,-0.2720560094613108,0.219269849,0.009103541,Nondifferential,Expressed
ENSG00000002016,8.726631750252919,7.954851603337129,5.931868516286105,8.176400240215374,7.959799999244377,7.362305189995643,7.537783956625385,7.832835143151798,1.0391429614093777,0.0553941484944478,1.0,0.98696415,Nondifferential,Expressed
ENSG00000002079,1.1492465733221089,2.3228999200352143,0.5339526081011898,0.1816230332468868,0.1175328650400072,0.12337761025092014,1.3353663671528375,0.14084450284593805,0.10547255518066967,-3.245060448141687,5.51e-11,5.030000000000001e-13,Downregulated,Expressed
ENSG00000002330,3.9249783484947485,3.762304739926835,4.531583139387929,7.459842604721991,5.969337040176938,6.022514289662112,4.072955409269838,6.483897978187014,1.591939347882374,0.6707853709467635,0.010301044,0.006721783,Upregulated,Expressed
ENSG00000002549,22.98302730733591,24.241020118431692,16.517353761174906,30.186269471632105,31.5936370024154,27.60350799390833,21.247133728980838,29.79447148931861,1.4022819204398995,0.4877764237657864,0.012507427,0.019328623,Upregulated,Expressed
ENSG00000002586,56.90178249610557,50.18130259882723,45.6883984702024,55.196966073522816,49.81268413181748,56.32273100681885,50.92382785504507,53.77746040405305,1.0560372750675942,0.07866075856575762,0.934033995,0.8891869029999999,Nondifferential,Expressed
ENSG00000002822,10.102455973215255,7.803510362343157,6.91253454504907,16.006185109206136,14.582134909195414,15.212758337144134,8.27283362686916,15.267026118515227,1.8454409706644868,0.8839655914488117,2.12e-06,1.58e-06,Upregulated,Expressed
ENSG00000002834,31.540243389863267,32.14457290483788,27.349515157343546,25.97397757048945,22.59908013751388,30.43398717808123,30.34477715068156,26.335681628694854,0.8678818597981808,-0.2044294253550944,0.678669929,0.162410785,Nondifferential,Expressed
ENSG00000002919,1.8661239904991136,2.229850427271675,1.9365182399363696,1.8375973758449409,2.1289824607526984,2.515602529344022,2.010830885902386,2.160727455313887,1.074544592716574,0.1037253546653195,1.0,0.86260169,Nondifferential,Expressed
ENSG00000003056,38.64608307786226,40.2235335056706,40.865918384940464,32.45274350395828,35.916404766566025,34.09017699449385,39.91184498949111,34.15310842167272,0.8557135965692722,-0.22480008091089826,0.4282365870000001,0.028868778,Nondifferential,Expressed
ENSG00000003096,0.5438719763708632,0.6765635551559079,0.6123682973741008,1.9835459139716496,1.7569650059049469,1.7863440902813836,0.610934609633624,1.8422850033859932,3.0155191314023067,1.592406388138308,9.2e-13,1.69e-14,Upregulated,Expressed
ENSG00000003137,1.166378815226821,1.3316708142786555,0.8466769347876734,1.7919729873691148,1.2745945367945166,1.472537834560242,1.1149088547643833,1.5130351195746246,1.3570931050631745,0.44051970204279983,0.27053771,0.188809885,Nondifferential,Expressed
ENSG00000003147,14.296949204805891,16.326440440948105,16.319859728082573,20.96576803617802,20.592472893567127,20.382535617685065,15.647749791278855,20.64692551581007,1.3194820847223327,0.3999717625946778,0.008326908000000001,0.005816078000000001,Upregulated,Expressed
