Ensembl_ID,Control_1_FPKM,Control_2_FPKM,Control_3_FPKM,VitC_1_FPKM,VitC_2_FPKM,VitC_3_FPKM,Control_Average_FPKM,VitC_Average_FPKM,Fold_Change,Log2FC,edgeR,DESeq2,Change,Expressed
ENSG00000000003,21.542816489213187,23.742768914203637,24.26224136382428,14.04786129852803,16.56171782813774,13.387856765462132,23.182608922413703,14.665811964042634,0.6326212900853988,-0.6605859861016419,3.05e-05,2.79e-07,Downregulated,Expressed
ENSG00000000419,65.02042728575769,65.91701106796286,59.943117197491375,57.473301879419026,53.11111507837084,54.2959663391887,63.62685185040397,54.96012776565953,0.8637882618313227,-0.21125038324263912,0.582148929,0.036561045,Nondifferential,Expressed
ENSG00000000457,4.275969105585944,4.338524834646527,4.018258000344715,4.322482505804325,4.526825206738883,4.018343801323125,4.210917313525729,4.289217171288778,1.0185944894979402,0.026579817522344232,1.0,0.919602543,Nondifferential,Expressed
ENSG00000000460,2.4224011033488377,2.7987054960888575,2.271534212365676,2.677261134860424,3.0903005218932758,2.597351610515672,2.4975469372677903,2.7883044224231237,1.1164172255651017,0.15887628950016222,0.8057835659999999,0.644766296,Nondifferential,Expressed
ENSG00000000971,9.31076763551335,10.778623016221418,11.685507884033447,27.768597805583,33.02864513383168,27.90934105107554,10.591632845256072,29.568861330163404,2.7917188749048374,1.4811536699856942,6.649999999999999e-30,4.0200000000000006e-25,Upregulated,Expressed
ENSG00000001036,25.35409400922818,27.168773893779676,21.330246177356027,31.481920453783005,31.673837599940512,29.891234675265487,24.617704693454627,31.015664242996337,1.2598926109972717,0.3333007684995311,0.053178054,0.060468884,Nondifferential,Expressed
ENSG00000001084,14.10851121019382,12.873093591020423,13.996907268483962,14.276450935497541,13.187821586713538,15.155613248054895,13.659504023232735,14.206628590088657,1.0400544972881407,0.05665912539275594,1.0,0.9616720040000001,Nondifferential,Expressed
ENSG00000001167,9.844476001553899,11.378650690266857,11.213785373330593,10.840433457417733,10.935623849818363,12.609895433888504,10.812304021717116,11.461984247041533,1.0600871214885836,0.08418283514186353,0.865945848,0.8485819840000001,Nondifferential,Expressed
ENSG00000001460,5.219913252272386,4.8494653881640994,4.9744898030463816,5.859221234467506,5.3563916478572615,6.0303610272530195,5.014622814494289,5.748657969859262,1.146378936665648,0.1970840071697936,0.59402834,0.438964929,Nondifferential,Expressed
ENSG00000001461,27.692186685908815,25.512591112420587,25.719498960344534,27.184632357921394,22.953387918052652,29.070617507349013,26.308092252891313,26.402879261107685,1.0036029601578562,0.0051886311394773385,1.0,0.832415771,Nondifferential,Expressed
ENSG00000001497,15.382246019648179,16.657595237757242,18.69806075902834,15.717479074774937,13.673633039637636,16.98920250802254,16.912634005477923,15.460104874145037,0.9141157355582566,-0.12955125942299245,1.0,0.34351484200000004,Nondifferential,Expressed
ENSG00000001561,11.521427521105013,13.316873906560698,13.080857599084714,7.802781827141422,9.072461182736319,7.151326750845798,12.639719675583477,8.008856586907847,0.6336261240333354,-0.6582962767735292,0.00017197099999999998,1.63e-06,Downregulated,Expressed
